ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AMOUNT,INT_RATE,ACCT_OPEN_DATE  OPEN_EFFECTIVE_DATE,MATURITY_DATE,CRNCY,USD_AMOUNT
LA500300013975,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-127,750.00",127750.0,8.86,3/30/2022,2022-09-16,USD,127750.0
LA500300013976,UNITED BANK FOR AFRICA PLC,LAA,"-89,568.74",89568.74,4.99,3/30/2022,2022-07-22,USD,89568.74
LA500300013977,UNITED BANK FOR AFRICA PLC,LAA,"-506,549.37",506549.37,4.99,3/30/2022,2022-07-22,USD,506549.37
LA500300013980,NOVA MERCHANT BANK,LAA,"-396,000.00",396000.0,7.24,3/31/2022,2022-09-27,USD,396000.0
LA500300013981,UNITED BANK FOR AFRICA PLC,LAA,"-175,440.00",175440.0,4.99,3/31/2022,2022-07-22,USD,175440.0
LA500300013982,UNITED BANK FOR AFRICA PLC,LAA,"-81,758.82",81758.82,4.99,3/31/2022,2022-07-22,USD,81758.82
LA500300013983,UNITED BANK FOR AFRICA PLC,LAA,"-233,875.72",233875.72,4.99,3/31/2022,2022-07-22,USD,233875.72
LA500300013984,UNITED BANK FOR AFRICA PLC,LAA,"-149,014.64",149014.64,4.99,3/31/2022,2022-07-21,USD,149014.64
LA500300013985,UNITED BANK FOR AFRICA PLC,LAA,"-6,674,247.17",6674247.17,4.99,3/31/2022,2022-07-28,USD,6674247.17
LA500300013986,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-117,600.00",117600.0,8.87,4/1/2022,2022-09-28,USD,117600.0
LA500300013987,UNITED BANK FOR AFRICA PLC,LAA,"-9,226.08",9226.08,4.96,4/4/2022,2022-07-26,USD,9226.08
LA500300013988,UNITED BANK FOR AFRICA PLC,LAA,"-130,392.53",130392.53,4.96,4/4/2022,2022-07-21,USD,130392.53
LA500300013989,UNITED BANK FOR AFRICA PLC,LAA,"-53,395.50",53395.5,4.96,4/4/2022,2022-07-22,USD,53395.5
LA500300013990,UNITED BANK FOR AFRICA PLC,LAA,"-75,266.33",75266.33,4.96,4/4/2022,2022-07-29,USD,75266.33
LA500300013992,UNITED BANK FOR AFRICA PLC,LAA,"-76,100.00",76100.0,4.96,4/4/2022,2022-07-22,USD,76100.0
LA500300013993,GREENWICH MERCHANT BANK LIMITE,LAA,"-355,328.00",355328.0,7.42,4/5/2022,2022-10-21,USD,355328.0
LA500300013994,UNITED BANK FOR AFRICA PLC,LAA,"-55,322.12",55322.12,4.98,4/5/2022,2022-07-29,USD,55322.12
LA500300013996,UNITED BANK FOR AFRICA PLC,LAA,"-79,254.41",79254.41,4.98,4/5/2022,2022-07-22,USD,79254.41
LA500300013997,UNITED BANK FOR AFRICA PLC,LAA,"-3,485,460.26",3485460.26,4.99,4/6/2022,2022-08-03,USD,3485460.26
LA500300013998,UNITED BANK FOR AFRICA PLC,LAA,"-248,861.75",248861.75,4.99,4/6/2022,2022-07-28,USD,248861.75
LA500300013999,UNION BANK,LAA,"-627,900.00",627900.0,8.43,4/6/2022,2022-10-03,USD,627900.0
LA500300014001,UNITED BANK FOR AFRICA PLC,LAA,"-138,857.05",138857.05,4.99,4/6/2022,2022-07-28,USD,138857.05
LA500300014002,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-202,675.00",202675.0,8.89,4/7/2022,2022-10-04,USD,202675.0
LA500300014004,UNITED BANK FOR AFRICA PLC,LAA,"-255,150.00",255150.0,4.97,4/7/2022,2022-07-29,USD,255150.0
LA500300014005,UNITED BANK FOR AFRICA PLC,LAA,"-14,243.91",14243.91,4.97,4/7/2022,2022-07-29,USD,14243.91
LA500300014006,GLOBUS BANK LIMITED WIRE CLEAR,LAA,"-204,015.00",204015.0,8.96,4/8/2022,2022-10-05,USD,204015.0
LA500300014009,FBNQUEST MERCHANT BANK LIMITED,LAA,"-121,480.00",121480.0,9.05,4/11/2022,2022-10-07,USD,121480.0
LA500300014010,FBNQUEST MERCHANT BANK LIMITED,LAA,"-139,480.00",139480.0,9.05,4/11/2022,2022-10-07,USD,139480.0
LA500300014011,UNITED BANK FOR AFRICA PLC,LAA,"-408,241.23",408241.23,5.29,4/12/2022,2022-08-05,USD,408241.23
